Composition,Volume (nm^3),rA (Å),rB (Å),rA/rB,xO48f,Lattice constant (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),ρmea (g/cm3),ρcal (g/cm3),Relative density,Direct Band Gap,Indirect Band Gap,Phase,Method,Bulk Modulus (GPa),Shear Modulus (GPa),Vickers Hardness (GPa),Young's Modulus (GPa),Fracture Toughness (Mpa*m^.5),Thermal Expansion (K^-1),Thermal Expansion at high temp,Thermal Conductivity (W/mK),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),Activation Energy (eV),Poissons Ratio,Mole Mass (g/mol),Sintering process,Source DOI,Source Title,Year,,,,
(Ca2Nb2O7)0.50(Gd2Zr2O7)0.50,,,,1.632,,,,,,,,,,,P,,,,8.0*,235*,1.52*,,,,,,,,,1600 °C/10 h,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2014.10.009 ,Mechanical and thermal properties of simultaneously substituted pyrochlore compounds (Ca2Nb2O7)x(Gd2Zr2O7)1−x ,2014,,,,
(Ca2Nb2O7)0.75(Gd2Zr2O7)0.25,,,,1.729,,,,,,,,,,,P+M,,,,,193*,,,,,,,,,,1500 °C/10 h,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2014.10.009 ,Mechanical and thermal properties of simultaneously substituted pyrochlore compounds (Ca2Nb2O7)x(Gd2Zr2O7)1−x ,2014,,,,
(Ca2Nb2O7)1(Gd2Zr2O7)0,,,,,,,,,,,,,,,M,,,,,180*,,,,,,,,,,1400 °C/10 h,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2014.10.009 ,Mechanical and thermal properties of simultaneously substituted pyrochlore compounds (Ca2Nb2O7)x(Gd2Zr2O7)1−x ,2014,,,,
(La1/3Nd1/3Gd1/3)2Zr2O7(La1/3​Nd1/3​Gd1/3​)2​Zr2​O7​,,0.1107,0.072,1.538,,,3.95,1.12,,,,,,,P,,,,10.2*,189*,1.7*,0.00001026*`,,1.54*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.129,Thermophysical and mechanical properties of dual-phase medium- and high-entropy rare-earth zirconate ceramics,2023,,,,
(La1/3Nd1/3Gd1/3)2(Zr3/4Ce1/4)2O7(La1/3​Nd1/3​Gd1/3​)2​(Zr3/4​Ce1/4​)2​O7​,,0.1107,0.07575,1.462,,,9.44,2.16,,,,,,,F+P,,,,10.6*,195*,1.81*,0.0000105*`,,1.43*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.130,Thermophysical and mechanical properties of dual-phase medium- and high-entropy rare-earth zirconate ceramics,2023,,,,
(La1/3Nd1/3Gd1/3)2Ce2O7(La1/3​Nd1/3​Gd1/3​)2​Ce2​O7​,,0.1107,0.087,1.272,,,3.95,1.43,,,,,,,F,,,,8.1*,176*,1.56*,0.00001034*`,,1.73*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.131,Thermophysical and mechanical properties of dual-phase medium- and high-entropy rare-earth zirconate ceramics,2023,,,,
(La1/5Nd1/5Sm1/5Eu1/5Gd1/5)2Zr2O7(La1/5​Nd1/5​Sm1/5​Eu1/5​Gd1/5​)2​Zr2​O7​,,0.10934,0.072,1.519,,,3.49,1.66,,,,,,,P,,,,10.7*,200*,1.8*,0.00001053*`,,1.64*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.132,Thermophysical and mechanical properties of dual-phase medium- and high-entropy rare-earth zirconate ceramics,2023,,,,
(La1/5Nd1/5Sm1/5Eu1/5Gd1/5)2(Zr3/4Ce1/4)2O7(La1/5​Nd1/5​Sm1/5​Eu1/5​Gd1/5​)2​(Zr3/4​Ce1/4​)2​O7​,,0.10934,0.07575,1.443,,,9.25,1.98,,,,,,,F+P,,,,11.2*,205*,1.89*,0.00001028*`,,1.46*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.133,Thermophysical and mechanical properties of dual-phase medium- and high-entropy rare-earth zirconate ceramics,2023,,,,
(La1/5Nd1/5Sm1/5Eu1/5Gd1/5)2Ce2O7(La1/5​Nd1/5​Sm1/5​Eu1/5​Gd1/5​)2​Ce2​O7​,,0.10934,0.087,1.257,,,3.49,1.21,,,,,,,F,,,,8.4*,188*,1.73*,0.0000103*`,,1.82*,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.134,Thermophysical and mechanical properties of dual-phase medium- and high-entropy rare-earth zirconate ceramics,2023,,,,
(Eu0.1Gd0.1Tb0.1Dy0.1Ho0.1)Zr0.5O1.75,,,,1.445 (1.36),,5.2579,,,,,,,,,DF,BM,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101323,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
(Eu0.1Gd0.1Tb0.1Dy0.1Ho0.1)Zr0.5O1.75,,,,1.445 (1.36),,5.2385,,,,,,,,,DF,CP,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101324,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
(Eu0.1Gd0.1Tb0.1Dy0.1Ho0.1)Zr0.5O1.75,,,,1.445 (1.36),,5.231,,,,,,,,,DF,PS,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101325,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
(Eu0.1Gd0.1La0.1Dy0.1Ho0.1)Zr0.5O1.75,,,,1.478 (1.40),,5.330*,,,,,,,,,DF,BM,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101326,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
(Eu0.1Gd0.1La0.1Dy0.1Ho0.1)Zr0.5O1.75,,,,1.478 (1.40),,5.270*,,,,,,,,,DF,CP,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101327,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
(Eu0.1Gd0.1La0.1Dy0.1Ho0.1)Zr0.5O1.75,,,,1.478 (1.40),,5.246*,,,,,,,,,DF,PS,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101328,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
(Eu0.1​Gd0.1​Sc0.1​Dy0.1​Ho0.1​)Zr0.5​O1.75​,,,,1.398 (1.30),,5.201*,,,,,,,,,DF,BM,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101329,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
(Eu0.1​Gd0.1​Sc0.1​Dy0.1​Ho0.1​)Zr0.5​O1.75​,,,,1.398 (1.30),,5.206*,,,,,,,,,DF,CP,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101330,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
(Eu0.1​Gd0.1​Sc0.1​Dy0.1​Ho0.1​)Zr0.5​O1.75​,,,,1.398 (1.30),,5.190*,,,,,,,,,DF,PS,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101331,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
(Eu0.1Gd0.1La0.1Sc0.1Ho0.1)Zr0.5O1.75,,,,1.434 (1.35),,5.233*,,,,,,,,,DF,CP,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101332,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
(Eu0.1Gd0.1La0.1Sc0.1Ho0.1)Zr0.5O1.75,,,,1.434 (1.35),,5.216*,,,,,,,,,DF,PS,,,,,,,,,,,,,,,https://doi.org/10.1002/smll.202101333,Persistent Structure and Frustrated Magnetism in High Entropy Rare-Earth Zirconates,2021,,,,
La2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7,,,,1.61,,10.789,11.92,,,6.438,,,,,F+P,,,,10.3*,,1.14*,0.0000044*,,1.58*,0.36*,0.68*,,,,1550 °C / 5 h,https://doi.org/10.1007/s10853-022-07734-3,"Pyrochlore–fluorite dual-phase high-entropy RE2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7 (RE2HE2O7, RE = La, Nd, Sm, Eu, Gd, Dy) ceramics with glass-like thermal conductivity",2022,,,,
Nd2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7,,,,1.54,,10.579,11.92,,,6.522,,,,,F+P,,,,12.5*,,1.24*,0.0000022*,,1.40*,0.38*,0.60*,,,,1550 °C / 5 h,https://doi.org/10.1007/s10853-022-07734-4,"Pyrochlore–fluorite dual-phase high-entropy RE2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7 (RE2HE2O7, RE = La, Nd, Sm, Eu, Gd, Dy) ceramics with glass-like thermal conductivity",2022,,,,
Sm2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7,,,,1.5,,10.4985,11.92,,,6.916,,,,,F+P,,,,12.9*,,1.16*,0.0000041*,,1.38*,0.35*,0.57*,,,,1600 °C / 10 h,https://doi.org/10.1007/s10853-022-07734-5,"Pyrochlore–fluorite dual-phase high-entropy RE2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7 (RE2HE2O7, RE = La, Nd, Sm, Eu, Gd, Dy) ceramics with glass-like thermal conductivity",2022,,,,
Eu2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7,,,,1.48,,10.4684,11.92,,,7.29,,,,,F+P,,,,13.3*,,1.20*,0.0000067*,,1.42*,0.36*,0.53*,,,,1600 °C / 10 h,https://doi.org/10.1007/s10853-022-07734-6,"Pyrochlore–fluorite dual-phase high-entropy RE2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7 (RE2HE2O7, RE = La, Nd, Sm, Eu, Gd, Dy) ceramics with glass-like thermal conductivity",2022,,,,
Gd2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7,,,,1.46,,10.4564,11.92,,,7.494,,,,,F+P,,,,13.85,,1.26,0.0000052*,,1.38*,0.34*,0.54*,,,,1600 °C / 10 h,https://doi.org/10.1007/s10853-022-07734-7,"Pyrochlore–fluorite dual-phase high-entropy RE2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7 (RE2HE2O7, RE = La, Nd, Sm, Eu, Gd, Dy) ceramics with glass-like thermal conductivity",2022,,,,
Dy2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7,,,,1.43,,10.3715,11.92,,,7.635,,,,,F+P,,,,13.4*,,1.18*,0.0000048*,,1.18*,0.35*,0.45*,,,,1600 °C / 10 h,https://doi.org/10.1007/s10853-022-07734-8,"Pyrochlore–fluorite dual-phase high-entropy RE2(Ce0.2Zr0.2Hf0.2Sn0.2Ti0.2)2O7 (RE2HE2O7, RE = La, Nd, Sm, Eu, Gd, Dy) ceramics with glass-like thermal conductivity",2022,,,,
CaGdZrNbO7CaGdZrNbO7​,,,,,,10.5139,,,,5.4388,5.6384,96.46,,,P,,,,,,,0.0000080*,,,,,0.8628,,,"1550 °C, 36 h",https://doi-org.utk.idm.oclc.org/10.1021/ic202383f,Role of Bond Strength on the Lattice Thermal Expansion and Oxide Ion Conductivity in Quaternary Pyrochlore Solid Solutions,2012,,,,
CaGdZrNb0.8Ta0.2O7CaGdZrNb0.8​Ta0.2​O7​,,,,,,10.5134,,,,5.6109,5.8313,96.32,,,P,,,,,,,0.0000079*,,,,,0.875,,,"1550 °C, 36 h",https://doi-org.utk.idm.oclc.org/10.1021/ic202383f,Role of Bond Strength on the Lattice Thermal Expansion and Oxide Ion Conductivity in Quaternary Pyrochlore Solid Solutions,2012,,,,
CaGdZrNb0.6Ta0.4O7CaGdZrNb0.6​Ta0.4​O7​,,,,,,10.513,,,,5.8019,6.0424,96.02,,,P,,,,,,,0.0000077*,,,,,0.8858,,,"1550 °C, 36 h",https://doi-org.utk.idm.oclc.org/10.1021/ic202383f,Role of Bond Strength on the Lattice Thermal Expansion and Oxide Ion Conductivity in Quaternary Pyrochlore Solid Solutions,2012,,,,
CaGdZrNb0.4Ta0.6O7CaGdZrNb0.4​Ta0.6​O7​,,,,,,10.5125,,,,5.9758,6.243,95.72,,,P,,,,,,,0.0000074*,,,,,0.8901,,,"1550 °C, 36 h",https://doi-org.utk.idm.oclc.org/10.1021/ic202383f,Role of Bond Strength on the Lattice Thermal Expansion and Oxide Ion Conductivity in Quaternary Pyrochlore Solid Solutions,2012,,,,
CaGdZrNb0.2Ta0.8O7CaGdZrNb0.2​Ta0.8​O7​,,,,,,10.5122,,,,6.1653,6.4463,95.64,,,P,,,,,,,0.0000073*,,,,,0.896*,,,"1550 °C, 36 h",https://doi-org.utk.idm.oclc.org/10.1021/ic202383f,Role of Bond Strength on the Lattice Thermal Expansion and Oxide Ion Conductivity in Quaternary Pyrochlore Solid Solutions,2012,,,,
CaGdZrTaO7CaGdZrTaO7​,,,,,,10.5118,,,,6.3532,6.6484,95.56,,,P,,,,,,,0.0000072*,,,,,0.9007,,,"1550 °C, 36 h",https://doi-org.utk.idm.oclc.org/10.1021/ic202383f,Role of Bond Strength on the Lattice Thermal Expansion and Oxide Ion Conductivity in Quaternary Pyrochlore Solid Solutions,2012,,,,
(La0.5Gd0.5)2(Ce0.2Nb0.2Yb0.2Ta0.2Zr0.2)2O7,,,,1.48,,,,6.16,,6.76,7.2,,,,P,,,,7.11,,2.06,0.00000747,10.36,0.83*,,0.362*,,,,1550 °C / 6 h,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2025.07.098,(La0.5Gd0.5)2(Ce0.2Nb0.2Yb0.2Ta0.2Zr0.2)2O7 high-entropy oxide-based novel thermal barrier coating material,2025,,,,
La₂Zr₂O₇,,1.16,0.72,1.611,,,,,,5.94,,97.4,,,SP,,,,8.65*,,1.47*,,9.5051,2.38*,0.385*,1.03*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.12.364,"A novel dual-phase high-entropy (La0.2Nd0.2Gd0.2Er0.2Yb0.2)2Zr2O7 ceramic for thermal barrier coatings applications: Preparation, microstructure, and thermo–physical properties",2023,,,,
Nd₂Zr₂O₇,,1.109,0.72,1.54,,,,,,6.38,,98.2,,,SP,,,,9.88*,,0.99*,,10.5229,1.85*,0.383*,0.75*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.12.365,"A novel dual-phase high-entropy (La0.2Nd0.2Gd0.2Er0.2Yb0.2)2Zr2O7 ceramic for thermal barrier coatings applications: Preparation, microstructure, and thermo–physical properties",2023,,,,
Gd₂Zr₂O₇,,1.053,0.72,1.463,,,,,,6.75,,96.8,,,SP,,,,11.10*,,1.16*,,11.1586,1.80*,0.365*,0.74*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.12.366,"A novel dual-phase high-entropy (La0.2Nd0.2Gd0.2Er0.2Yb0.2)2Zr2O7 ceramic for thermal barrier coatings applications: Preparation, microstructure, and thermo–physical properties",2023,,,,
Er₂Zr₂O₇,,1.004,0.72,1.394,,,,,,6.96,,97.9,,,SP,,,,11.45*,,1.36*,,11.1696,1.60*,0.346*,0.66*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.12.367,"A novel dual-phase high-entropy (La0.2Nd0.2Gd0.2Er0.2Yb0.2)2Zr2O7 ceramic for thermal barrier coatings applications: Preparation, microstructure, and thermo–physical properties",2023,,,,
Yb₂Zr₂O₇,,0.985,0.72,1.368,,,,,,7.49,,98.5,,,SP,,,,11.58*,,1.53*,,10.9799,1.76*,0.355*,0.66*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.12.368,"A novel dual-phase high-entropy (La0.2Nd0.2Gd0.2Er0.2Yb0.2)2Zr2O7 ceramic for thermal barrier coatings applications: Preparation, microstructure, and thermo–physical properties",2023,,,,
(La0.2Nd0.2Gd0.2Er0.2Yb0.2)2Zr2O7,,1.062,0.72,1.475,,,,,,6.85,,98.7,,,P,,,,11.705,,1.693,,11.1926,1.41*,0.360*,0.56*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.12.369,"A novel dual-phase high-entropy (La0.2Nd0.2Gd0.2Er0.2Yb0.2)2Zr2O7 ceramic for thermal barrier coatings applications: Preparation, microstructure, and thermo–physical properties",2023,,,,
Gd2(Ti0.25Zr0.25Sn0.25Hf0.25)2O7,,,,,,10.43,,,,,,,2.49,,P,,177.98,93.65,,239.02,,,,,,,,0.28,,,https://doi-org.utk.idm.oclc.org/10.1016/j.scriptamat.2022.114898,"Physical properties and radiation tolerance of high-entropy pyrochlores Gd2(Ti0.25Zr0.25Sn0.25Hf0.25)2O7 and individual pyrochlores Gd2X2O7 (X= Ti, Zr, Sn, Hf) from first principles calculations",2022,,,,
Gd2Hf2O7,,,,,,10.49,,,,,,,3.31,,SP,,169.31,92.71,,235.2,,,,,,,,0.27,,,https://doi-org.utk.idm.oclc.org/10.1016/j.scriptamat.2022.114899,"Physical properties and radiation tolerance of high-entropy pyrochlores Gd2(Ti0.25Zr0.25Sn0.25Hf0.25)2O7 and individual pyrochlores Gd2X2O7 (X= Ti, Zr, Sn, Hf) from first principles calculations",2022,,,,
Gd2Sn2O7,,,,,,10.48,,,,,,,2.81,,SP,,181.37,91.85,,235.76,,,,,,,,0.28,,,https://doi-org.utk.idm.oclc.org/10.1016/j.scriptamat.2022.114900,"Physical properties and radiation tolerance of high-entropy pyrochlores Gd2(Ti0.25Zr0.25Sn0.25Hf0.25)2O7 and individual pyrochlores Gd2X2O7 (X= Ti, Zr, Sn, Hf) from first principles calculations",2022,,,,
Gd2Zr2O7,,,,,,10.56,,,,,,,2.74,,SP,,179.63,88.33,,227.68,,,,,,,,0.29,,,https://doi-org.utk.idm.oclc.org/10.1016/j.scriptamat.2022.114901,"Physical properties and radiation tolerance of high-entropy pyrochlores Gd2(Ti0.25Zr0.25Sn0.25Hf0.25)2O7 and individual pyrochlores Gd2X2O7 (X= Ti, Zr, Sn, Hf) from first principles calculations",2022,,,,
Gd2Ti2O7,,,,,,10.161,,,,,,,2.28,,SP,,194.62,94.19,,243.32,,,,,,,,0.29,,,https://doi-org.utk.idm.oclc.org/10.1016/j.scriptamat.2022.114902,"Physical properties and radiation tolerance of high-entropy pyrochlores Gd2(Ti0.25Zr0.25Sn0.25Hf0.25)2O7 and individual pyrochlores Gd2X2O7 (X= Ti, Zr, Sn, Hf) from first principles calculations",2022,,,,
(Gd0.2​Nd0.2​La0.2​Pr0.2​Sm0.2​)2​Sn2​O7​,,,,,,10.5736,,,,,,,,,P,,,,4.2,,,,8.702,,,,,,,,https://doi.org/10.3390/nano15120939,Phase Evolution of High-Entropy Stannate Pyrochlore Oxide Synthesized via Glycine-Assisted Sol–Gel Synthesis as a Thermal Barrier Coating Material,2025,,,,
Gd2Ti2O7,,1.053,,1.74,,10.186,,,,6.509,98,,,,SP,,,,,,,,,3.35*,0.414*,1.06*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.184,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
Dy2Ti2O7,,1.027,,1.7,,10.106,,,,6.65,97,,,,SP,,,,,,,,,2.67*,0.434*,0.91*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.185,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
Ho2Ti2O7,,1.015,,1.68,,10.102,,,,6.57,93.8,,,,SP,,,,,,,,,2.36*,0.431*,0.82*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.186,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
Er2Ti2O7,,1.004,,1.66,,10.0762,,,,6.51,92.5,,,,SP,,,,,,,,,2.20*,0.410*,0.76*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.187,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
Yb2Ti2O7,,0.99,,1.64,,10.03,,,,6.97,95.6,,,,SP,,,,,,,,,2.41*,0.408*,0.83*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.188,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
Nd2Ti2O7,,1.12,,1.85,,,,,,5.76,94.5,,,,SP,,,,,,,,,,,,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.189,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
(Gd1/2Dy1/2)2Ti2O7,,1.04,,1.72,,10.0989,,,,6.62,97.3,,,,P,,,,,,,,,2.80*,0.428*,0.99*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.190,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
(Gd1/3Dy1/3Ho1/3)2Ti2O7,,1.032,,1.71,,10.0563,,,,6.727,97,,,,P,,,,,,,,,2.92*,0.430*,0.99*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.191,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
(Gd1/4Dy1/4Ho1/4Er1/4)2Ti2O7,,1.025,,1.69,,10.1006,,,,6.824,99.1,,,,P,,,,,,,,,2.25*,0.421*,0.78*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.192,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
(Gd1/5Dy1/5Ho1/5Er1/5Yb1/5)2Ti2O7,,1.0178,,1.68,,10.0999,,,,6.949,100.2,,,,P,,,,,,,,,2.02*,0.400*,0.72*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.193,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
(Gd1/6Dy1/6Ho1/6Er1/6Yb1/6Nd1/6)2Ti2O7,,1.035,,1.71,,10.1273,,,,6.742,99.3,,,,P,,,,,,,,,2.28*,0.430*,0.78*,,,,,https://doi-org.utk.idm.oclc.org/10.1016/j.ceramint.2023.09.194,Preparation and properties of high-entropy pyrochlore A2Ti2O7 with multi-elements at A site,2023,,,,
