CollectionCode,HMS,StructuredFormula,StructureType,Reference,CellParameter,Temperature,ANXFormula,ChemicalName,MineralGroup,MineralSuperGroup,CalculatedDensity(g/cm3),PublicationYear,Pdf,DOI or Link,
26802,F d -3 m Z,Nd2 Zr2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2020) 832,   Article ID 154863",10.6257(4) 10.6257(4) 10.6257(4) 90. 90. 90.,293,A2B2X7,Dineodymium dizirconate,,,6.45,2020,01-090-4499,,
26805,F d -3 m Z,Nd2 Zr2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2020) 832,   Article ID 154863",10.6625(2) 10.6625(2) 10.6625(2) 90. 90. 90.,293,A2B2X7,Dineodymium dizirconate,,,6.39,2020,01-090-4500,,
26851,F d -3 m Z,La2 Zr2 O7,Eu2Zr2O7,"Journal of Alloys and Compounds (2020) 832,   Article ID 154863",10.746(4) 10.746(4) 10.746(4) 90. 90. 90.,293,A2B2X7,Dilanthanum dizirconate,,,6.13,2020,01-090-3310,,
26853,F d -3 m Z,La2 Zr2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2020) 832,   Article ID 154863",10.805(3) 10.805(3) 10.805(3) 90. 90. 90.,293,A2B2X7,Dilanthanum dizirconate,,,6.03,2020,01-090-3312,,
26854,F d -3 m Z,Nd2 Zr2 O7,Eu2Zr2O7,"Journal of Alloys and Compounds (2020) 832,   Article ID 154863",10.619(4) 10.619(4) 10.619(4) 90. 90. 90.,293,A2B2X7,Dineodymium dizirconate,,,6.47,2020,01-090-3313,,
28445,F d -3 m Z,Cd2 (Re2 O7),Ca2Nb2O7,"Inorganic Chemistry (1965) 4,  p. 1152-1153",10.219 10.219 10.219 90. 90. 90.,293,A2B2X7,Dicadmium dirhenate(V),,,8.83,1965,01-074-2353,https://doi.org/10.1021/ic50030a013,
31196,F d -3 m Z,Ca1.37 Na0.150 Ce0.32 Th0.08 U0.08 Ti1.07 Nb0.89 Ta0.038 O6 O0.5 F0.5 H0.125,Ca2Nb2O7,"American Mineralogist (1983) 68,  p. 262-276",10.2978(5) 10.2978(5) 10.2978(5) 90. 90. 90.,293,A2B2X7,Calcium sodium titanium niobium tantalum oxide,,,4.81,1983,01-085-0927,https://pubs.geoscienceworld.org/msa/ammin/article/68/1-2/262/41455/Calciobetafite-new-mineral-of-the-pyrochlore-group?guestAccessKey=,
32278,F d -3 m Z,Sc2 Ge2 O7,Ca2Nb2O7,"AIP Advances (2020) 10, (9)  Article ID 095209",9.5989(1) 9.5989(1) 9.5989(1) 90. 90. 90.,293,A2B2X7,Discandium digermanate,,,5.21,2020,01-090-4785,https://doi.org/10.1063/5.0021334,
32688,F d -3 m Z,Lu2 V2 O7,Ca2Nb2O7,"Materials Research Bulletin (1982) 17,  p. 707-713",9.928(2) 9.928(2) 9.928(2) 90. 90. 90.,293,A2B2X7,Lutetium heptaoxodivanadate(IV),,,7.65,1982,01-075-2411,https://doi.org/10.1016/0025-5408(82)90019-8,
32689,F d -3 m Z,Yb2 V2 O7,Ca2Nb2O7,"Materials Research Bulletin (1982) 17,  p. 707-713",9.945(1) 9.945(1) 9.945(1) 90. 90. 90.,293,A2B2X7,Ytterbium heptaoxodivanadate(IV),,,7.56,1982,01-075-2412,,
32690,F d -3 m Z,Tm2 V2 O7,Ca2Nb2O7,"Materials Research Bulletin (1982) 17,  p. 707-713",9.973(1) 9.973(1) 9.973(1) 90. 90. 90.,293,A2B2X7,Thulium heptaoxodivanadate(IV),,,7.39,1982,01-075-2413,,
33414,F d -3 m Z,(Bi1.5 Mg0.5) (Mg0.5 Nb1.5) O7,Bi2Ti2O7,"Journal of Alloys and Compounds (2021) 858,   Article ID 157742",10.5461(1) 10.5461(1) 10.5461(1) 90. 90. 90.,293,A2B2X7,Bismuth magnesium niobate,,,6.67,2021,01-090-5363,https://doi.org/10.1016/j.jallcom.2020.157742,
33428,F d -3 m Z,(Bi1.5 Na0.1 Mg0.4) (Mg0.5 Nb1.5) O6.95,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 858,   Article ID 157742",10.5456(8) 10.5456(8) 10.5456(8) 90. 90. 90.,293,A2B2X7,Bismuth sodium magnesium niobate,,,6.66,2021,01-090-5377,,
33429,F d -3 m Z,(Bi1.5 Na0.1 Mg0.4) (Mg0.5 Nb1.5) O6.95,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 858,   Article ID 157742",10.5457(5) 10.5457(5) 10.5457(5) 90. 90. 90.,293,A2B2X7,Bismuth sodium magnesium niobate,,,6.66,2021,01-090-5378,,
33430,F d -3 m Z,(Bi1.5 Na0.1 Mg0.4) (Mg0.5 Nb1.5) O6.95,Bi2Ti2O7,"Journal of Alloys and Compounds (2021) 858,   Article ID 157742",10.5457(4) 10.5457(4) 10.5457(4) 90. 90. 90.,293,A2B2X7,Bismuth sodium magnesium niobate,,,6.66,2021,01-090-5379,,
33431,F d -3 m Z,(Bi1.5 Na0.1 Mg0.4) (Mg0.5 Nb1.5) O6.95,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 858,   Article ID 157742",10.5457(4) 10.5457(4) 10.5457(4) 90. 90. 90.,293,A2B2X7,Bismuth sodium magnesium niobate,,,6.66,2021,,,
33432,F d -3 m Z,(Bi1.5 Na0.1 Mg0.4) (Mg0.5 Nb1.5) O6.95,Bi2Ti2O7,"Journal of Alloys and Compounds (2021) 858,   Article ID 157742",10.5457(4) 10.5457(4) 10.5457(4) 90. 90. 90.,293,A2B2X7,Bismuth sodium magnesium niobate,,,6.66,2021,01-090-5380,,
33433,F d -3 m Z,(Bi1.5 Na0.1 Mg0.4) (Mg0.5 Nb1.5) O6.95,Bi2Ti2O7,"Journal of Alloys and Compounds (2021) 858,   Article ID 157742",10.5457(4) 10.5457(4) 10.5457(4) 90. 90. 90.,293,A2B2X7,Bismuth sodium magnesium niobate,,,6.66,2021,01-090-5381,,
33434,F d -3 m Z,(Bi1.5 Mg0.5) (Na0.1 Mg0.4 Nb1.5) O6.95,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 858,   Article ID 157742",10.5457(4) 10.5457(4) 10.5457(4) 90. 90. 90.,293,A2B2X7,Bismuth sodium magnesium niobate,,,6.66,2021,,,
33435,F d -3 m Z,(Bi1.5 Na0.1 Mg0.4) (Mg0.5 Nb1.5) O6.95,Bi2Ti2O7,"Journal of Alloys and Compounds (2021) 858,   Article ID 157742",10.5457(4) 10.5457(4) 10.5457(4) 90. 90. 90.,293,A2B2X7,Bismuth sodium magnesium niobate,,,6.66,2021,,,
33466,F d -3 m Z,Gd2 Ti2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 859,   Article ID 157781",10.184(1) 10.184(1) 10.184(1) 90. 90. 90.,293,A2B2X7,Digadolinium dititanate,,,6.57,2021,01-090-5403,https://doi.org/10.1016/j.jallcom.2020.157781,
33467,F d -3 m Z,Gd1.8 Ca0.1 Zr0.1 Ti2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 859,   Article ID 157781",10.1762(2) 10.1762(2) 10.1762(2) 90. 90. 90.,293,A2B2X7,Gadolinium calcium zirconium dititanate,,,6.35,2021,01-090-5404,,
33468,F d -3 m Z,Gd1.6 Ca0.2 Zr0.2 Ti2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 859,   Article ID 157781",10.1629(1) 10.1629(1) 10.1629(1) 90. 90. 90.,293,A2B2X7,Gadolinium calcium zirconium dititanate,,,6.15,2021,01-090-5405,,
33469,F d -3 m Z,Gd1.4 Ca0.3 Zr0.3 Ti2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 859,   Article ID 157781",10.1533(1) 10.1533(1) 10.1533(1) 90. 90. 90.,293,A2B2X7,Gadolinium calcium zirconium dititanate,,,5.93,2021,01-090-5406,,
33470,F d -3 m Z,Gd1.2 Ca0.4 Zr0.4 Ti2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 859,   Article ID 157781",10.1356(1) 10.1356(1) 10.1356(1) 90. 90. 90.,293,A2B2X7,Gadolinium calcium zirconium dititanate,,,5.73,2021,01-090-5407,,
34166,F d -3 m Z,Gd2 Mo2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 865,   Article ID 158958",10.35702(5) 10.35702(5) 10.35702(5) 90. 90. 90.,293,A2B2X7,Digadolinium dimolybdate,,,7.39,2021,01-090-5540,https://doi.org/10.1016/j.jallcom.2021.158958,
34167,F d -3 m Z,Gd2 (Mo0.9 Mn0.1)2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2021) 865,   Article ID 158958",10.31757(8) 10.31757(8) 10.31757(8) 90. 90. 90.,293,A2B2X7,Digadolinium manganese molybdenum heptaoxide,,,7.38,2021,01-090-5541,,
