Composition,Sample A,Sample B,a_stoich_json,b_stoich_json,Thermal Conductivity (W/m/K),Ionic Radius A (Å),Ionic Radius B (Å),rA/rB (Å),compound_type,data_source,ROM_Lattice_Parameter,ROM_Lattice_Distortion,ROM_Ionic_Radius_A,ROM_Ionic_Radius_B,ROM_Radius_Ratio_rA_rB,ROM_Electronegativity_A,ROM_Electronegativity_B,ROM_Electronegativity_Diff,ROM_Lattice_Distortion_A,ROM_Lattice_Distortion_B,ROM_Bulk_Modulus_GPa,ROM_Shear_Modulus_GPa,ROM_Youngs_Modulus_GPa,ROM_Poisson_Ratio,ROM_Thermal_Conductivity_W_mK,ROM_Vickers_Hardness,ROM_Fracture_Toughness,ROM_Thermal_Diffusivity,ROM_Pyrochlore_Stable
(Dy0.2Er0.2Gd0.2Sm0.2Yb0.2)2Ti2O7,"Dy,Er,Gd,Sm,Yb",Ti,"{""Sm"": 0.2, ""Gd"": 0.2, ""Dy"": 0.2, ""Er"": 0.2, ""Yb"": 0.2}","{""Ti"": 1.0}",1.54,1.0306,0.605,1.7034710743801653,high_entropy,literature_extraction,10.164275,0.026627575503417766,1.0306,0.605,1.7034710743801653,1.188,1.5400000000000003,0.3520000000000001,0.2045359482493485,0.2045359482493485,186.78566666666666,100.73039999999999,262.1873333333333,0.2733080555555555,2.8234468333333336,11.1194,1.2320000000000002,0.9083333333333334,True
(Gd0.1875La0.1875Nd0.1875Sm0.1875Yb0.25)2Zr2O7,"Gd,La,Nd,Sm,Yb",Zr,"{""La"": 0.1875, ""Nd"": 0.1875, ""Sm"": 0.1875, ""Gd"": 0.1875, ""Yb"": 0.25}","{""Zr"": 1.0}",0.22,1.11371875,0.72,1.5468315972222224,high_entropy,literature_extraction,10.730540560344828,0.030627871805844253,1.11371875,0.72,1.5468315972222224,1.139375,1.33,0.19062500000000007,0.09377511174945186,0.09377511174945186,166.75900000000001,87.3323,210.0421666666667,0.27773833333333336,2.39298375,10.90901098901099,1.2491208791208792,0.7823076923076923,True
(Dy0.2Eu0.2Gd0.2Ho0.2Y0.2)2Ti2O7,"Dy,Eu,Gd,Ho,Y",Ti,"{""Ho"": 0.2, ""Y"": 0.2, ""Dy"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Ti"": 1.0}",0.947,1.036,0.605,1.712396694214876,high_entropy,literature_extraction,10.193378333333333,0.03979184526163815,1.036,0.605,1.712396694214876,1.218,1.5400000000000003,0.32200000000000006,0.21084731456076566,0.21084731456076566,185.1653333333333,99.78139999999999,273.8919,0.27732523333333337,3.3147685416666666,11.7954,1.2826,0.8888888888888887,True
(Dy0.25Lu0.25Sm0.25Tb0.25)2(Eu0.5Zr0.5)2O7,"Dy,Lu,Sm,Tb","Eu,Zr","{""Sm"": 0.25, ""Tb"": 0.25, ""Dy"": 0.25, ""Lu"": 0.25}","{""Zr"": 0.5, ""Eu"": 0.5}",1.46,1.038,0.72,1.441,high_entropy,literature_extraction,10.502942563569938,0.0383643178358988,,,,1.168063462757283,1.423155737704918,0.2552889962591108,0.15469229489841718,0.15469229489841718,173.2431976280548,92.10775265821604,234.2770592450218,0.27586005909952177,2.984945925604795,10.691559805666465,1.2923060965923907,0.8627201691048226,
(La0.3333Pr0.3333Sm0.3333)2(Ce0.3333Eu0.3333Hf0.3333)2O7,"La,Pr,Sm","Ce,Eu,Hf","{""La"": 0.3333333333333333, ""Pr"": 0.3333333333333333, ""Sm"": 0.3333333333333333}","{""Hf"": 0.3333333333333333, ""Ce"": 0.3333333333333333, ""Eu"": 0.3333333333333333}",1.24,1.115,0.71,1.57,high_entropy,literature_extraction,10.502942563569938,0.0383643178358988,,,,1.168063462757283,1.423155737704918,0.2552889962591108,0.15469229489841718,0.15469229489841718,173.2431976280548,92.10775265821604,234.2770592450218,0.27586005909952177,2.984945925604795,10.691559805666465,1.2923060965923907,0.8627201691048226,
(Dy0.2Er0.2Gd0.2Sm0.2Yb0.2)2Ti2O7,"Dy,Er,Gd,Sm,Yb",Ti,"{""Sm"": 0.2, ""Yb"": 0.2, ""Gd"": 0.2, ""Er"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",1.55,1.0303,0.605,1.7027355371900827,high_entropy,literature_extraction,10.164275,0.026627575503417766,1.0306,0.605,1.7034710743801653,1.188,1.5400000000000003,0.35200000000000004,0.2045359482493485,0.2045359482493485,186.78566666666666,100.7304,262.1873333333333,0.27330805555555554,2.8234468333333327,11.1194,1.2320000000000002,0.9083333333333334,True
(Gd0.25La0.25Nd0.25Pr0.25)2(Ce0.5Hf0.5)2O7,"Gd,La,Nd,Pr","Ce,Hf","{""La"": 0.25, ""Pr"": 0.25, ""Nd"": 0.25, ""Gd"": 0.25}","{""Hf"": 0.5, ""Ce"": 0.5}",1.48,1.118,0.71,1.575,high_entropy,literature_extraction,10.502942563569938,0.0383643178358988,,,,1.168063462757283,1.423155737704918,0.2552889962591108,0.15469229489841718,0.15469229489841718,173.2431976280548,92.10775265821604,234.2770592450218,0.27586005909952177,2.984945925604795,10.691559805666465,1.2923060965923907,0.8627201691048226,
Gd2(Ti0.5Zr0.5)2O7,Gd,"Ti,Zr","{""Gd"": 1.0}","{""Ti"": 0.5, ""Zr"": 0.5}",2.24,1.053,0.6625,1.589433962264151,high_entropy,literature_extraction,10.400044375,0.031955512689819644,1.053,0.6625,1.589433962264151,1.2,1.435,0.2350000000000001,0.12389953296518419,0.12389953296518419,179.656,88.6306,229.33524999999997,0.28816783333333335,3.5512504166666665,10.981,1.3185,0.8133333333333334,True
(Gd0.2La0.2Nd0.2Sm0.2Yb0.2)2Zr2O7,"Gd,La,Nd,Sm,Yb",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Yb"": 0.2}","{""Zr"": 1.0}",0.102,1.1223,0.72,1.55875,high_entropy,literature_extraction,10.730540560344826,0.030627871805844423,1.1223,0.72,1.55875,1.142,1.33,0.18800000000000006,0.10220269517453118,0.10220269517453118,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.4351826666666665,10.811428571428573,1.2257142857142858,0.7925,True
(Gd0.2La0.2Nd0.2Sm0.2Yb0.2)2Zr2O7,"Gd,La,Nd,Sm,Yb",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Yb"": 0.2}","{""Zr"": 1.0}",0.045,1.1223,0.72,1.55875,high_entropy,literature_extraction,10.730540560344826,0.030627871805844423,1.1223,0.72,1.55875,1.142,1.33,0.18800000000000006,0.10220269517453118,0.10220269517453118,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.4351826666666665,10.811428571428573,1.2257142857142858,0.7925,True
(Ce0.15Eu0.15Nd0.4Sm0.15Yb0.15)2Zr2O7,"Ce,Eu,Nd,Sm,Yb",Zr,"{""Nd"": 0.4, ""Sm"": 0.15, ""Yb"": 0.15, ""Ce"": 0.15, ""Eu"": 0.15}","{""Zr"": 1.0}",1.74,1.0845500000000001,0.72,1.5063194444444448,high_entropy,literature_extraction,10.794310408163264,0.013596883361890357,1.0845500000000001,0.72,1.5063194444444448,1.1445,1.33,0.1855000000000001,0.06512869379981989,0.06512869379981989,172.4,99.20000000000002,205.04545454545453,0.26,2.1294117647058823,11.396363636363636,1.137272727272727,0.7254545454545455,True
(Ce0.15Eu0.15Nd0.4Sm0.15Yb0.15)2Zr2O7,"Ce,Eu,Nd,Sm,Yb",Zr,"{""Nd"": 0.4, ""Sm"": 0.15, ""Yb"": 0.15, ""Ce"": 0.15, ""Eu"": 0.15}","{""Zr"": 1.0}",1.6,1.0845500000000001,0.72,1.5063194444444448,high_entropy,literature_extraction,10.794310408163264,0.013596883361890357,1.0845500000000001,0.72,1.5063194444444448,1.1445,1.33,0.1855000000000001,0.06512869379981989,0.06512869379981989,172.4,99.20000000000002,205.04545454545453,0.26,2.1294117647058823,11.396363636363636,1.137272727272727,0.7254545454545455,True
(Gd0.2La0.2Nd0.2Sm0.2Y0.2)2Zr2O7,"Gd,La,Nd,Sm,Y",Zr,"{""La"": 0.2, ""Y"": 0.2, ""Gd"": 0.2, ""Sm"": 0.2, ""Nd"": 0.2}","{""Zr"": 1.0}",0.044,1.1291,0.72,1.5681944444444444,high_entropy,literature_extraction,10.69915542025862,0.04245140510572209,1.1291,0.72,1.5681944444444444,1.166,1.33,0.1640000000000001,0.10888092588573728,0.10888092588573728,165.247,87.13830000000002,212.06313333333335,0.2762275,2.956315666666667,10.388571428571426,1.124285714285714,0.8366666666666666,True
(Ce0.04Gd0.2La0.16Nd0.2Sm0.2Y0.2)2Zr2O7,"Ce,Gd,La,Nd,Sm,Y",Zr,"{""La"": 0.16, ""Y"": 0.2, ""Gd"": 0.2, ""Sm"": 0.2, ""Nd"": 0.2, ""Ce"": 0.04}","{""Zr"": 1.0}",0.047,1.1194,0.7200000000000001,1.554722222222222,high_entropy,literature_extraction,10.700809952278325,0.059678921785612855,1.1194,0.7200000000000001,1.554722222222222,1.1667999999999998,1.33,0.1632000000000001,0.09935462619475155,0.09935462619475155,165.75005263157894,87.41584736842107,212.09931944444446,0.27622378947368426,2.970330866666667,10.493061224489797,1.1172448979591836,0.8235714285714286,True
(Ce0.08Gd0.2La0.12Nd0.2Sm0.2Y0.2)2Zr2O7,"Ce,Gd,La,Nd,Sm,Y",Zr,"{""La"": 0.12, ""Y"": 0.2, ""Gd"": 0.2, ""Sm"": 0.2, ""Nd"": 0.2, ""Ce"": 0.08}","{""Zr"": 1.0}",0.052,1.1097000000000001,0.7200000000000001,1.54125,high_entropy,literature_extraction,10.702464484298032,0.05951510225514163,1.1097000000000001,0.7200000000000001,1.54125,1.1676,1.3300000000000003,0.16240000000000016,0.08982832650376626,0.08982832650376626,166.309,87.72423333333334,212.13865217391307,0.2762196666666667,2.984346066666667,10.613626373626376,1.1091208791208793,0.8084615384615385,True
(Ce0.12Gd0.2La0.08Nd0.2Sm0.2Y0.2)2Zr2O7,"Ce,Gd,La,Nd,Sm,Y",Zr,"{""La"": 0.08, ""Y"": 0.2, ""Gd"": 0.2, ""Sm"": 0.2, ""Nd"": 0.2, ""Ce"": 0.12}","{""Zr"": 1.0}",0.051,1.0999999999999999,0.7200000000000001,1.5277777777777775,high_entropy,literature_extraction,10.704119016317733,0.05935133336772866,1.0999999999999999,0.7200000000000001,1.5277777777777775,1.1684,1.33,0.1616000000000001,0.08030202681278054,0.08030202681278054,166.93370588235294,88.0689,212.18156060606057,0.2762150588235294,2.9983612666666666,10.754285714285716,1.0996428571428571,0.7908333333333334,True
